Insertion_age	Family	Specie
1.33	RLG	L. perrieri
1.71	RLG	L. perrieri
1.9	RLG	L. perrieri
0.86	RLG	L. perrieri
1.26	RLG	L. perrieri
2.31	RLG	L. perrieri
2.05	RLG	L. perrieri
1.95	RLG	L. perrieri
2.1	RLG	L. perrieri
2.68	RLG	L. perrieri
2	RLG	L. perrieri
1.45	RLG	L. perrieri
2.03	RLG	L. perrieri
1.89	RLG	L. perrieri
2.24	RLG	L. perrieri
1.9	RLG	L. perrieri
1.34	RLG	L. perrieri
2.71	RLG	L. perrieri
1.37	RLG	L. perrieri
2.08	RLG	L. perrieri
2.28	RLG	L. perrieri
2.1	RLG	L. perrieri
2.02	RLG	L. perrieri
2.49	RLG	L. perrieri
2.28	RLG	L. perrieri
1.81	RLG	L. perrieri
1.65	RLG	L. perrieri
1.85	RLG	L. perrieri
2.19	RLG	L. perrieri
1.85	RLG	L. perrieri
2.33	RLG	L. perrieri
2.1	RLG	L. perrieri
1.6	RLG	L. perrieri
2.37	RLG	L. perrieri
3.31	RLG	L. perrieri
1.84	RLG	L. perrieri
1.98	RLG	L. perrieri
1.4	RLG	L. perrieri
1.51	RLG	L. perrieri
1.93	RLG	L. perrieri
1.85	RLG	L. perrieri
0.53	RLG	L. perrieri
1.18	RLG	L. perrieri
2.01	RLG	L. perrieri
1.45	RLG	L. perrieri
3.04	RLG	L. perrieri
2.49	RLG	L. perrieri
1.92	RLG	L. perrieri
1.28	RLG	L. perrieri
3.15	RLG	L. perrieri
3.9	RLG	L. perrieri
1.4	RLG	L. perrieri
0.34	RLG	L. perrieri
0.55	RLG	L. perrieri
2.59	RLG	L. perrieri
3.33	RLG	L. perrieri
1.99	RLG	L. perrieri
1.65	RLG	L. perrieri
0.66	RLG	L. perrieri
2.08	RLG	L. perrieri
2.12	RLG	L. perrieri
1.48	RLG	L. perrieri
4.42	RLG	L. perrieri
1.42	RLG	L. perrieri
1.37	RLG	L. perrieri
1.38	RLG	L. perrieri
0.94	RLG	L. perrieri
1.93	RLG	L. perrieri
3.47	RLG	L. perrieri
2.12	RLG	L. perrieri
2.29	RLG	L. perrieri
2.79	RLG	L. perrieri
2.72	RLG	L. perrieri
0.19	RLG	L. perrieri
3.29	RLG	L. perrieri
1.45	RLG	L. perrieri
2.58	RLG	L. perrieri
2.21	RLG	L. perrieri
3.31	RLG	L. perrieri
1	RLG	L. perrieri
2.58	RLG	L. perrieri
0.58	RLG	L. perrieri
0.64	RLG	L. perrieri
0.66	RLG	L. perrieri
0.95	RLG	L. perrieri
1.41	RLG	L. perrieri
1.83	RLG	L. perrieri
1.01	RLG	L. perrieri
2.07	RLG	L. perrieri
1.87	RLG	L. perrieri
2.54	RLG	L. perrieri
0.14	RLG	L. perrieri
3.09	RLG	L. perrieri
2.65	RLG	L. perrieri
2.73	RLG	L. perrieri
2.4	RLG	L. perrieri
1.63	RLG	L. perrieri
0.64	RLG	L. perrieri
1.4	RLG	L. perrieri
1.57	RLG	L. perrieri
1.74	RLG	L. perrieri
2.34	RLG	L. perrieri
1.82	RLG	L. perrieri
1.17	RLG	L. perrieri
2.09	RLG	L. perrieri
1.74	RLG	L. perrieri
1.75	RLG	L. perrieri
1.47	RLG	L. perrieri
3.03	RLG	L. perrieri
3.56	RLG	L. perrieri
3.02	RLG	L. perrieri
3.17	RLG	L. perrieri
1.32	RLG	L. perrieri
2.24	RLG	L. perrieri
1.61	RLG	L. perrieri
0.99	RLG	L. perrieri
2.21	RLG	L. perrieri
2.73	RLG	L. perrieri
1.32	RLG	L. perrieri
1.59	RLG	L. perrieri
1.91	RLG	L. perrieri
0.37	RLG	L. perrieri
1.27	RLG	L. perrieri
1.59	RLG	L. perrieri
1.44	RLG	L. perrieri
2.05	RLG	L. perrieri
1.39	RLG	L. perrieri
1.28	RLG	L. perrieri
1.18	RLG	L. perrieri
2.04	RLG	L. perrieri
3.2	RLG	L. perrieri
1.93	RLG	L. perrieri
2.21	RLG	L. perrieri
1.93	RLG	L. perrieri
2.06	RLG	L. perrieri
2.6	RLG	L. perrieri
1.55	RLG	L. perrieri
2.08	RLG	L. perrieri
2.27	RLG	L. perrieri
2.65	RLG	L. perrieri
1.71	RLG	L. perrieri
1.44	RLG	L. perrieri
2.02	RLG	L. perrieri
2.47	RLG	L. perrieri
1.13	RLG	L. perrieri
1.84	RLG	L. perrieri
1.07	RLG	L. perrieri
2.47	RLG	L. perrieri
1.87	RLG	L. perrieri
0.86	RLG	L. perrieri
1.48	RLG	L. perrieri
1.71	RLG	L. perrieri
1.3	RLG	L. perrieri
0.66	RLG	L. perrieri
1.73	RLG	L. perrieri
2.37	RLG	L. perrieri
1.72	RLG	L. perrieri
0.32	RLG	L. perrieri
2.21	RLG	L. perrieri
0.9	RLG	L. perrieri
1.51	RLG	L. perrieri
1.86	RLG	L. perrieri
3	RLG	L. perrieri
2.19	RLG	L. perrieri
0.79	RLG	L. perrieri
2.42	RLG	L. perrieri
1.62	RLG	L. perrieri
0.72	RLG	L. perrieri
2.56	RLG	L. perrieri
1.99	RLG	L. perrieri
1.33	RLG	L. perrieri
1.22	RLG	L. perrieri
2.09	RLG	L. perrieri
2.53	RLG	L. perrieri
2.09	RLG	L. perrieri
1.61	RLG	L. perrieri
1.97	RLG	L. perrieri
1.61	RLG	L. perrieri
1.45	RLG	L. perrieri
1.44	RLG	L. perrieri
1.07	RLG	L. perrieri
2.28	RLG	L. perrieri
1.55	RLG	L. perrieri
2.14	RLG	L. perrieri
1.76	RLG	L. perrieri
2.09	RLG	L. perrieri
1.41	RLG	L. perrieri
1.56	RLG	L. perrieri
1.35	RLG	L. perrieri
2.36	RLG	L. perrieri
1.37	RLG	L. perrieri
1.93	RLG	L. perrieri
2.68	RLG	L. perrieri
1.76	RLG	L. perrieri
2.94	RLG	L. perrieri
2.44	RLG	L. perrieri
2.56	RLG	L. perrieri
4.14	RLG	L. perrieri
2.39	RLG	L. perrieri
2.8	RLG	L. perrieri
1.8	RLG	L. perrieri
2.14	RLG	L. perrieri
1.46	RLG	L. perrieri
1.91	RLG	L. perrieri
1.87	RLG	L. perrieri
1.13	RLG	L. perrieri
2.45	RLG	L. perrieri
2.26	RLG	L. perrieri
1.69	RLG	L. perrieri
1.58	RLG	L. perrieri
0.26	RLG	L. perrieri
1.52	RLG	L. perrieri
1.06	RLG	L. perrieri
1.47	RLG	L. perrieri
2.93	RLG	L. perrieri
1.79	RLG	L. perrieri
1.39	RLG	L. perrieri
2.55	RLG	L. perrieri
2.16	RLG	L. perrieri
2.49	RLG	L. perrieri
1.94	RLG	L. perrieri
1.44	RLG	L. perrieri
2.03	RLG	L. perrieri
1.38	RLG	L. perrieri
1.87	RLG	L. perrieri
1.8	RLG	L. perrieri
1.8	RLG	L. perrieri
0.62	RLG	L. perrieri
1.79	RLG	L. perrieri
1.94	RLG	L. perrieri
1.1	RLG	L. perrieri
1.49	RLG	L. perrieri
1.56	RLG	L. perrieri
1.43	RLG	L. perrieri
3.25	RLG	L. perrieri
2.28	RLG	L. perrieri
2.53	RLG	L. perrieri
2.3	RLG	L. perrieri
2.09	RLG	L. perrieri
0.29	RLG	L. perrieri
0.8	RLG	L. perrieri
1.52	RLG	L. perrieri
1.85	RLG	L. perrieri
2.39	RLG	L. perrieri
1.89	RLG	L. perrieri
2.21	RLG	L. perrieri
1.64	RLG	L. perrieri
1.52	RLG	L. perrieri
1.07	RLG	L. perrieri
2.07	RLG	L. perrieri
3.22	RLG	L. perrieri
3.02	RLG	L. perrieri
0.86	RLG	L. perrieri
2.83	RLG	L. perrieri
0.56	RLG	L. perrieri
1.13	RLG	L. perrieri
2.94	RLG	L. perrieri
1.61	RLG	L. perrieri
2.13	RLG	L. perrieri
0.62	RLG	L. perrieri
2.52	RLG	L. perrieri
2.19	RLG	L. perrieri
2.38	RLG	L. perrieri
1.22	RLG	L. perrieri
1.67	RLG	L. perrieri
1.15	RLG	L. perrieri
2.54	RLG	L. perrieri
1.3	RLG	L. perrieri
2.09	RLG	L. perrieri
0.89	RLG	L. perrieri
1.96	RLG	L. perrieri
1.79	RLG	L. perrieri
0.6	RLG	L. perrieri
2.93	RLG	L. perrieri
0.82	RLG	L. perrieri
1.44	RLG	L. perrieri
3.52	RLG	L. perrieri
1.12	RLG	L. perrieri
2.45	RLG	L. perrieri
1.43	RLG	L. perrieri
2.23	RLG	L. perrieri
2.65	RLG	L. perrieri
2.35	RLG	L. perrieri
2.3	RLG	L. perrieri
1.96	RLG	L. perrieri
2.38	RLG	L. perrieri
1.5	RLG	L. perrieri
2.06	RLG	L. perrieri
1.34	RLG	L. perrieri
3.03	RLG	L. perrieri
2.24	RLG	L. perrieri
2.78	RLG	L. perrieri
1.62	RLG	L. perrieri
1.84	RLG	L. perrieri
2.63	RLG	L. perrieri
2.02	RLG	L. perrieri
1.43	RLG	L. perrieri
2.29	RLG	L. perrieri
2.65	RLG	L. perrieri
1.65	RLG	L. perrieri
1.86	RLG	L. perrieri
2.78	RLG	L. perrieri
1.74	RLG	L. perrieri
2.14	RLG	L. perrieri
2.21	RLG	L. perrieri
2.09	RLG	L. perrieri
2.72	RLG	L. perrieri
1.69	RLG	L. perrieri
2.07	RLG	L. perrieri
1.98	RLG	L. perrieri
2.48	RLG	L. perrieri
2.09	RLG	L. perrieri
2.57	RLG	L. perrieri
2.27	RLG	L. perrieri
1.85	RLG	L. perrieri
2.27	RLG	L. perrieri
1.89	RLG	L. perrieri
2.2	RLG	L. perrieri
1.45	RLG	L. perrieri
2.35	RLG	L. perrieri
1.91	RLG	L. perrieri
1.87	RLG	L. perrieri
1.55	RLG	L. perrieri
1.63	RLG	L. perrieri
2.2	RLG	L. perrieri
1.24	RLG	L. perrieri
1.72	RLG	L. perrieri
2.44	RLG	L. perrieri
0.34	RLG	L. perrieri
2.01	RLG	L. perrieri
2.6	RLG	L. perrieri
1.7	RLG	L. perrieri
2.69	RLG	L. perrieri
1.96	RLG	L. perrieri
1.49	RLG	L. perrieri
1.24	RLG	L. perrieri
3.64	RLG	L. perrieri
3.03	RLG	L. perrieri
0.8	RLG	L. perrieri
1.05	RLG	L. perrieri
3.14	RLG	L. perrieri
2.57	RLG	L. perrieri
1.81	RLG	L. perrieri
2.24	RLG	L. perrieri
1.86	RLG	L. perrieri
2.11	RLG	L. perrieri
1.99	RLG	L. perrieri
2.23	RLG	L. perrieri
2.25	RLG	L. perrieri
2.4	RLG	L. perrieri
1.99	RLG	L. perrieri
2.23	RLG	L. perrieri
2.11	RLG	L. perrieri
1.65	RLG	L. perrieri
2.34	RLG	L. perrieri
1.69	RLG	L. perrieri
1.39	RLG	L. perrieri
2.16	RLG	L. perrieri
2.33	RLG	L. perrieri
2.49	RLG	L. perrieri
1.94	RLG	L. perrieri
2.07	RLG	L. perrieri
1.98	RLG	L. perrieri
2.23	RLG	L. perrieri
2.79	RLG	L. perrieri
2.69	RLG	L. perrieri
2.68	RLG	L. perrieri
2.49	RLG	L. perrieri
1.55	RLG	L. perrieri
2.61	RLG	L. perrieri
2.95	RLG	L. perrieri
1.33	RLG	L. perrieri
2.76	RLG	L. perrieri
2.15	RLG	L. perrieri
1.77	RLG	L. perrieri
2	RLG	L. perrieri
1.82	RLG	L. perrieri
1.7	RLG	L. perrieri
1.75	RLG	L. perrieri
2.94	RLG	L. perrieri
1.47	RLG	L. perrieri
2.61	RLG	L. perrieri
2.96	RLG	L. perrieri
0.43	RLG	L. perrieri
1.4	RLG	L. perrieri
2.09	RLG	L. perrieri
1.8	RLG	L. perrieri
2.41	RLG	L. perrieri
2.61	RLG	L. perrieri
2.05	RLG	L. perrieri
1.1	RLG	L. perrieri
2.08	RLG	L. perrieri
1.69	RLG	L. perrieri
2.56	RLG	L. perrieri
2.41	RLG	L. perrieri
2.37	RLG	L. perrieri
2.31	RLG	L. perrieri
0.26	RLG	L. perrieri
2.69	RLG	L. perrieri
1.9	RLG	L. perrieri
2.84	RLG	L. perrieri
3.58	RLG	L. perrieri
2.78	RLG	L. perrieri
1.09	RLG	L. perrieri
3.26	RLG	L. perrieri
0.63	RLG	L. perrieri
1.49	RLG	L. perrieri
0.52	RLG	L. perrieri
2.15	RLG	L. perrieri
2.12	RLG	L. perrieri
0.77	RLG	L. perrieri
1.14	RLG	L. perrieri
2.03	RLG	L. perrieri
1.63	RLG	L. perrieri
0.87	RLG	L. perrieri
0.71	RLG	L. perrieri
1.23	RLG	L. perrieri
1.39	RLG	L. perrieri
1.54	RLG	L. perrieri
2.71	RLG	L. perrieri
2.3	RLG	L. perrieri
0.69	RLG	L. perrieri
0.27	RLG	L. perrieri
2.66	RLG	L. perrieri
0.86	RLG	L. perrieri
2.81	RLG	L. perrieri
2.07	RLG	L. perrieri
1.48	RLG	L. perrieri
1.92	RLG	L. perrieri
1.91	RLG	L. perrieri
1.96	RLG	L. perrieri
2.51	RLG	L. perrieri
1.66	RLG	L. perrieri
2.94	RLG	L. perrieri
2.21	RLG	L. perrieri
2.57	RLG	L. perrieri
2.24	RLG	L. perrieri
1.17	RLG	L. perrieri
2.43	RLG	L. perrieri
1.25	RLG	L. perrieri
1.96	RLG	L. perrieri
2.45	RLG	L. perrieri
2.33	RLG	L. perrieri
2.75	RLG	L. perrieri
1.42	RLG	O. barthii
1.57	RLG	O. barthii
1.7	RLG	O. barthii
1.43	RLG	O. barthii
1	RLG	O. barthii
1.15	RLG	O. barthii
2.19	RLG	O. barthii
1.42	RLG	O. barthii
1.63	RLG	O. barthii
1.51	RLG	O. barthii
1.95	RLG	O. barthii
0.68	RLG	O. barthii
1.47	RLG	O. barthii
1.39	RLG	O. barthii
2.13	RLG	O. barthii
1	RLG	O. barthii
1.07	RLG	O. barthii
1.6	RLG	O. barthii
1.79	RLG	O. barthii
0.72	RLG	O. barthii
1.76	RLG	O. barthii
0.77	RLG	O. barthii
0.88	RLG	O. barthii
1.23	RLG	O. barthii
1.59	RLG	O. barthii
1.16	RLG	O. barthii
1.05	RLG	O. barthii
1.04	RLG	O. barthii
0.75	RLG	O. barthii
1.42	RLG	O. barthii
0.84	RLG	O. barthii
1.77	RLG	O. barthii
1.14	RLG	O. barthii
1.17	RLG	O. barthii
1.42	RLG	O. barthii
1.27	RLG	O. barthii
1.07	RLG	O. barthii
0.83	RLG	O. barthii
1.5	RLG	O. barthii
1.06	RLG	O. barthii
1.66	RLG	O. barthii
1.91	RLG	O. barthii
1.02	RLG	O. barthii
0.67	RLG	O. barthii
1.27	RLG	O. barthii
0.77	RLG	O. barthii
0.96	RLG	O. barthii
1.23	RLG	O. barthii
2.02	RLG	O. barthii
1.3	RLG	O. barthii
1.12	RLG	O. barthii
1.84	RLG	O. barthii
1.38	RLG	O. barthii
2.19	RLG	O. barthii
0.93	RLG	O. barthii
1.62	RLG	O. barthii
1.44	RLG	O. barthii
1.19	RLG	O. barthii
1.27	RLG	O. barthii
2.51	RLG	O. barthii
1.44	RLG	O. barthii
0.66	RLG	O. barthii
1.2	RLG	O. barthii
0.33	RLG	O. barthii
1.51	RLG	O. barthii
0.83	RLG	O. barthii
1.36	RLG	O. barthii
2.5	RLG	O. barthii
1.62	RLG	O. barthii
0.37	RLG	O. barthii
0.62	RLG	O. barthii
0.54	RLG	O. barthii
1.96	RLG	O. barthii
2.22	RLG	O. barthii
2.48	RLG	O. barthii
1.44	RLG	O. barthii
1.7	RLG	O. barthii
0	RLG	O. barthii
1.45	RLG	O. barthii
1.16	RLG	O. barthii
1.7	RLG	O. barthii
1.92	RLG	O. barthii
1.47	RLG	O. barthii
1.04	RLG	O. barthii
2.6	RLG	O. barthii
2.91	RLG	O. barthii
0.99	RLG	O. barthii
1.55	RLG	O. barthii
2.19	RLG	O. barthii
1.54	RLG	O. barthii
1.77	RLG	O. barthii
2.73	RLG	O. barthii
1.76	RLG	O. barthii
1.26	RLG	O. barthii
1.38	RLG	O. barthii
1.24	RLG	O. barthii
2.43	RLG	O. barthii
1.18	RLG	O. barthii
0.42	RLG	O. barthii
2.27	RLG	O. barthii
0.74	RLG	O. barthii
2.8	RLG	O. barthii
1.18	RLG	O. barthii
1.98	RLG	O. barthii
0	RLG	O. barthii
1.09	RLG	O. barthii
1.67	RLG	O. barthii
1.82	RLG	O. barthii
1.49	RLG	O. barthii
1.65	RLG	O. barthii
1.52	RLG	O. barthii
1.21	RLG	O. barthii
2.13	RLG	O. barthii
0.73	RLG	O. barthii
1.95	RLG	O. barthii
1.59	RLG	O. barthii
0.94	RLG	O. barthii
1.22	RLG	O. barthii
1.38	RLG	O. barthii
1.37	RLG	O. barthii
0.97	RLG	O. barthii
1.89	RLG	O. barthii
1.68	RLG	O. barthii
2.4	RLG	O. barthii
2.37	RLG	O. barthii
2.36	RLG	O. barthii
1.43	RLG	O. barthii
2.57	RLG	O. barthii
0.84	RLG	O. barthii
2.11	RLG	O. barthii
2.58	RLG	O. barthii
0.65	RLG	O. barthii
2.28	RLG	O. barthii
2.29	RLG	O. barthii
3.46	RLG	O. barthii
2.57	RLG	O. barthii
3.26	RLG	O. barthii
0.81	RLG	O. barthii
1.14	RLG	O. barthii
1.8	RLG	O. barthii
2.5	RLG	O. barthii
0.24	RLG	O. barthii
1.05	RLG	O. barthii
1.32	RLG	O. barthii
1.54	RLG	O. barthii
1.88	RLG	O. barthii
0.66	RLG	O. barthii
1.27	RLG	O. barthii
1.5	RLG	O. barthii
1.95	RLG	O. barthii
1.3	RLG	O. barthii
1.52	RLG	O. barthii
2.68	RLG	O. barthii
1.33	RLG	O. barthii
1.03	RLG	O. barthii
1.3	RLG	O. barthii
1.15	RLG	O. barthii
1.11	RLG	O. barthii
1.91	RLG	O. barthii
2.81	RLG	O. barthii
0.98	RLG	O. barthii
2.07	RLG	O. barthii
1.87	RLG	O. barthii
2.06	RLG	O. barthii
1.68	RLG	O. barthii
1.33	RLG	O. barthii
1.79	RLG	O. barthii
1.74	RLG	O. barthii
1.54	RLG	O. barthii
1.17	RLG	O. barthii
1.5	RLG	O. barthii
0.87	RLG	O. barthii
1	RLG	O. barthii
1.03	RLG	O. barthii
1.64	RLG	O. barthii
1.82	RLG	O. barthii
2.42	RLG	O. barthii
0.48	RLG	O. barthii
1.23	RLG	O. barthii
0.67	RLG	O. barthii
1.58	RLG	O. barthii
0.18	RLG	O. barthii
0.96	RLG	O. barthii
1.16	RLG	O. barthii
0.72	RLG	O. barthii
1.15	RLG	O. barthii
1.18	RLG	O. barthii
1.5	RLG	O. barthii
2.2	RLG	O. barthii
2.09	RLG	O. barthii
0.96	RLG	O. barthii
0.69	RLG	O. barthii
1.43	RLG	O. barthii
1.38	RLG	O. barthii
1.37	RLG	O. barthii
1.17	RLG	O. barthii
0.74	RLG	O. barthii
1.49	RLG	O. barthii
0.48	RLG	O. barthii
1.86	RLG	O. barthii
1.36	RLG	O. barthii
1.15	RLG	O. barthii
1.28	RLG	O. barthii
0.96	RLG	O. barthii
2.23	RLG	O. barthii
1.73	RLG	O. barthii
1.64	RLG	O. barthii
1.2	RLG	O. barthii
1.02	RLG	O. barthii
1.41	RLG	O. barthii
1.51	RLG	O. barthii
1.17	RLG	O. barthii
1.45	RLG	O. barthii
1.32	RLG	O. barthii
1.31	RLG	O. barthii
0.85	RLG	O. barthii
1.36	RLG	O. barthii
1.08	RLG	O. barthii
1.31	RLG	O. barthii
1.09	RLG	O. barthii
1.85	RLG	O. barthii
0.8	RLG	O. barthii
0.41	RLG	O. barthii
1.08	RLG	O. barthii
1.3	RLG	O. barthii
0.71	RLG	O. barthii
1.33	RLG	O. barthii
2.28	RLG	O. barthii
1.05	RLG	O. barthii
2	RLG	O. barthii
1.31	RLG	O. barthii
0.89	RLG	O. barthii
1.83	RLG	O. barthii
