Insertion_age	Family	Specie
1.05	RLC	L. perrieri
1.27	RLC	L. perrieri
0.47	RLC	L. perrieri
1.19	RLC	L. perrieri
1.28	RLC	L. perrieri
2.07	RLC	L. perrieri
1.42	RLC	L. perrieri
1.32	RLC	L. perrieri
1.44	RLC	L. perrieri
2.58	RLC	L. perrieri
2.53	RLC	L. perrieri
0.92	RLC	L. perrieri
0.1	RLC	L. perrieri
2.06	RLC	L. perrieri
1.1	RLC	L. perrieri
0.86	RLC	L. perrieri
1.73	RLC	L. perrieri
3.48	RLC	L. perrieri
0.32	RLC	L. perrieri
1.03	RLC	L. perrieri
1.8	RLC	L. perrieri
2.31	RLC	L. perrieri
2.16	RLC	L. perrieri
1.87	RLC	L. perrieri
1.45	RLC	L. perrieri
0.64	RLC	L. perrieri
2.66	RLC	L. perrieri
0.72	RLC	L. perrieri
0.21	RLC	L. perrieri
1.26	RLC	L. perrieri
1.11	RLC	L. perrieri
1.17	RLC	L. perrieri
0.91	RLC	L. perrieri
1.17	RLC	L. perrieri
0.35	RLC	L. perrieri
1.51	RLC	L. perrieri
0.93	RLC	L. perrieri
0.63	RLC	L. perrieri
0.25	RLC	L. perrieri
1.35	RLC	L. perrieri
1.54	RLC	L. perrieri
2.2	RLC	L. perrieri
1.31	RLC	L. perrieri
1.11	RLC	L. perrieri
1.41	RLC	L. perrieri
1.27	RLC	L. perrieri
1.53	RLC	L. perrieri
2.44	RLC	L. perrieri
1.54	RLC	L. perrieri
0.86	RLC	L. perrieri
0.65	RLC	L. perrieri
1.55	RLC	L. perrieri
1.15	RLC	L. perrieri
1.58	RLC	L. perrieri
3.97	RLC	L. perrieri
1.98	RLC	L. perrieri
2.37	RLC	L. perrieri
1.48	RLC	L. perrieri
1.88	RLC	L. perrieri
2.45	RLC	L. perrieri
1.72	RLC	L. perrieri
1.76	RLC	L. perrieri
0.55	RLC	L. perrieri
1.21	RLC	L. perrieri
1.21	RLC	L. perrieri
0.78	RLC	L. perrieri
0.82	RLC	L. perrieri
0.44	RLC	L. perrieri
0.91	RLC	L. perrieri
0.62	RLC	L. perrieri
1.93	RLC	L. perrieri
2.22	RLC	L. perrieri
1.18	RLC	L. perrieri
2.96	RLC	L. perrieri
2.6	RLC	L. perrieri
1.02	RLC	L. perrieri
1.56	RLC	L. perrieri
1.06	RLC	L. perrieri
1.69	RLC	L. perrieri
1.8	RLC	L. perrieri
1.75	RLC	L. perrieri
3.58	RLC	L. perrieri
1.25	RLC	L. perrieri
2.05	RLC	L. perrieri
1.48	RLC	L. perrieri
0.93	RLC	L. perrieri
0.38	RLC	L. perrieri
0.7	RLC	L. perrieri
2.45	RLC	L. perrieri
0.66	RLC	L. perrieri
0.19	RLC	L. perrieri
1.95	RLC	L. perrieri
1.11	RLC	L. perrieri
2.43	RLC	L. perrieri
1.85	RLC	L. perrieri
0.68	RLC	L. perrieri
1.23	RLC	L. perrieri
1.11	RLC	L. perrieri
1.51	RLC	L. perrieri
0.88	RLC	L. perrieri
0.97	RLC	L. perrieri
3.14	RLC	L. perrieri
1.73	RLC	L. perrieri
2.27	RLC	L. perrieri
0.55	RLC	L. perrieri
1.69	RLC	L. perrieri
1.55	RLC	L. perrieri
1.23	RLC	L. perrieri
1.56	RLC	L. perrieri
0.05	RLC	L. perrieri
1.21	RLC	L. perrieri
1.4	RLC	L. perrieri
2.16	RLC	L. perrieri
2.68	RLC	L. perrieri
2.27	RLC	L. perrieri
2.74	RLC	L. perrieri
2.81	RLC	L. perrieri
1.28	RLC	L. perrieri
0.97	RLC	L. perrieri
1.01	RLC	L. perrieri
1.95	RLC	L. perrieri
2.24	RLC	L. perrieri
1.35	RLC	L. perrieri
1.22	RLC	L. perrieri
2.02	RLC	L. perrieri
0.58	RLC	L. perrieri
0.36	RLC	L. perrieri
0.98	RLC	L. perrieri
1.73	RLC	L. perrieri
2.02	RLC	L. perrieri
0.84	RLC	L. perrieri
1.4	RLC	L. perrieri
3.18	RLC	L. perrieri
0.68	RLC	L. perrieri
1.42	RLC	L. perrieri
0.24	RLC	L. perrieri
1.79	RLC	L. perrieri
2.9	RLC	L. perrieri
1.54	RLC	L. perrieri
3.79	RLC	L. perrieri
2.06	RLC	L. perrieri
2.56	RLC	L. perrieri
1.52	RLC	L. perrieri
1.36	RLC	L. perrieri
1.3	RLC	L. perrieri
2.75	RLC	L. perrieri
1.82	RLC	L. perrieri
0.89	RLC	L. perrieri
0.97	RLC	L. perrieri
3.5	RLC	L. perrieri
0.68	RLC	L. perrieri
1.51	RLC	L. perrieri
2.04	RLC	L. perrieri
0.61	RLC	L. perrieri
1.27	RLC	L. perrieri
1.85	RLC	L. perrieri
1.66	RLC	L. perrieri
2.2	RLC	L. perrieri
2.35	RLC	L. perrieri
1.09	RLC	L. perrieri
1.47	RLC	L. perrieri
1.29	RLC	L. perrieri
1.24	RLC	L. perrieri
2.05	RLC	L. perrieri
0.27	RLC	L. perrieri
3.34	RLC	L. perrieri
2.63	RLC	L. perrieri
0.72	RLC	L. perrieri
2.26	RLC	L. perrieri
2.71	RLC	L. perrieri
2.01	RLC	L. perrieri
1.73	RLC	L. perrieri
1.58	RLC	L. perrieri
2.58	RLC	L. perrieri
1.9	RLC	L. perrieri
2.15	RLC	L. perrieri
0.75	RLC	L. perrieri
0.82	RLC	L. perrieri
1.71	RLC	L. perrieri
2.7	RLC	L. perrieri
2.15	RLC	L. perrieri
1.23	RLC	L. perrieri
2.27	RLC	L. perrieri
2.66	RLC	L. perrieri
1.66	RLC	L. perrieri
1.65	RLC	L. perrieri
2.88	RLC	L. perrieri
1.42	RLC	L. perrieri
0.5	RLC	L. perrieri
1.43	RLC	L. perrieri
0.15	RLC	L. perrieri
0.34	RLC	L. perrieri
1.19	RLC	L. perrieri
1.56	RLC	L. perrieri
0.69	RLC	L. perrieri
0.69	RLC	L. perrieri
0.57	RLC	L. perrieri
0	RLC	L. perrieri
2.4	RLC	L. perrieri
0.94	RLC	L. perrieri
1.86	RLC	L. perrieri
0.93	RLC	L. perrieri
2.23	RLC	L. perrieri
1.39	RLC	L. perrieri
1.82	RLC	L. perrieri
1.77	RLC	L. perrieri
2.78	RLC	L. perrieri
2.5	RLC	L. perrieri
2.6	RLC	L. perrieri
2.02	RLC	L. perrieri
1.58	RLC	L. perrieri
2.33	RLC	L. perrieri
1.21	RLC	L. perrieri
3.09	RLC	L. perrieri
2.64	RLC	L. perrieri
2.22	RLC	L. perrieri
0.21	RLC	L. perrieri
1.97	RLC	L. perrieri
2.3	RLC	L. perrieri
1	RLC	L. perrieri
0.83	RLC	L. perrieri
1.66	RLC	L. perrieri
2.15	RLC	L. perrieri
1.28	RLC	L. perrieri
0.79	RLC	L. perrieri
1.2	RLC	L. perrieri
2.02	RLC	L. perrieri
1.83	RLC	L. perrieri
0.31	RLC	L. perrieri
1.53	RLC	L. perrieri
1.1	RLC	O. barthii
1.62	RLC	O. barthii
0.26	RLC	O. barthii
1.85	RLC	O. barthii
2.14	RLC	O. barthii
1.7	RLC	O. barthii
0.88	RLC	O. barthii
1.89	RLC	O. barthii
3.38	RLC	O. barthii
0.11	RLC	O. barthii
2.19	RLC	O. barthii
2.37	RLC	O. barthii
1.49	RLC	O. barthii
2.11	RLC	O. barthii
2.12	RLC	O. barthii
1.09	RLC	O. barthii
1.77	RLC	O. barthii
2.49	RLC	O. barthii
1.53	RLC	O. barthii
1.95	RLC	O. barthii
0	RLC	O. barthii
0.83	RLC	O. barthii
1.38	RLC	O. barthii
0.5	RLC	O. barthii
1.34	RLC	O. barthii
1.75	RLC	O. barthii
1.6	RLC	O. barthii
1.97	RLC	O. barthii
1.63	RLC	O. barthii
2.3	RLC	O. barthii
2.01	RLC	O. barthii
2.95	RLC	O. barthii
1.55	RLC	O. barthii
1.06	RLC	O. barthii
3.13	RLC	O. barthii
1.91	RLC	O. barthii
1.38	RLC	O. barthii
2.11	RLC	O. barthii
1.98	RLC	O. barthii
1.45	RLC	O. barthii
1.04	RLC	O. barthii
2.11	RLC	O. barthii
1.62	RLC	O. barthii
1.36	RLC	O. barthii
1.41	RLC	O. barthii
1.55	RLC	O. barthii
1.35	RLC	O. barthii
2.12	RLC	O. barthii
0.83	RLC	O. barthii
